year,gender,actual_rank,school,actual_points
2026,M,1,Arkansas,56
2026,M,2,Georgia,49
2026,M,3,Tennessee,46
2026,M,4,LSU,42
2026,M,5,Oregon,40
2026,M,6,Auburn,33
2026,M,7,Louisville,32
2026,M,8,Kansas State,30
2026,M,9,Nebraska,28
2026,M,10,USC,27
2026,M,11,Texas A&M,23
2026,M,12,Alabama,21
2026,M,12,N. Carolina A&T,21
2026,M,14,New Mexico,20
2026,M,15,Florida,18
2026,M,16,Oklahoma,16
2026,M,16,Oklahoma State,16
2026,M,18,Minnesota,14
2026,M,19,Air Force,13
2026,M,19,Virginia,13
2026,M,21,BYU,12
2026,M,21,Ohio State,12
2026,M,23,Northern Arizona,11
2026,M,23,Penn State,11
2026,M,23,Purdue,11
2026,M,26,Iowa,10
2026,M,26,Texas,10
2026,M,26,Michigan,10
2026,M,26,Princeton,10
2026,M,30,Texas Tech,8
2026,M,30,Utah State,8
2026,M,30,Middle Tennessee,8
2026,M,30,Tulane,8
2026,M,30,Wake Forest,8
2026,M,35,Illinois,7
2026,M,35,Indiana,7
2026,M,37,Cal Poly,6
2026,M,37,Kansas,6
2026,M,37,Eastern Kentucky,6
2026,M,37,Virginia Tech,6
2026,M,42,Long Beach St.,5
2026,M,42,Oral Roberts,5
2026,M,42,Florida State,5
2026,M,42,Kentucky,5
2026,M,42,Villanova,5
2026,M,47,Wisconsin,4
2026,M,47,App State,4
2026,M,47,Liberty,4
2026,M,47,Samford,4
2026,M,51,Baylor,3
2026,M,51,Iowa State,3
2026,M,51,Northern Iowa,3
2026,M,51,TCU,3
2026,M,51,UTSA,3
2026,M,51,Washington St.,3
2026,M,57,Arizona,2
2026,M,57,Cal St. Fullerton,2
2026,M,57,UCLA,2
2026,M,57,Cornell,2
2026,M,57,Georgetown,2
2026,M,57,Miami (Fla.),2
2026,M,64,Connecticut,1
2026,M,64,Ole Miss,1
2026,W,1,Georgia,50
2026,W,2,Florida,43
2026,W,3,Arkansas,38
2026,W,4,Oregon,36
2026,W,5,USC,32
2026,W,6,Iowa State,30
2026,W,7,Washington,28
2026,W,8,Illinois,27
2026,W,8,Nebraska,27
2026,W,10,LSU,24
2026,W,11,Tennessee,23
2026,W,12,BYU,22
2026,W,12,New Mexico,22
2026,W,14,Texas Tech,21
2026,W,15,Alabama,20
2026,W,15,Clemson,20
2026,W,15,South Carolina,20
2026,W,18,Texas A&M,17
2026,W,19,Florida State,15
2026,W,20,Arizona,13
2026,W,20,Minnesota,13
2026,W,20,Texas,13
2026,W,20,Texas State,13
2026,W,24,Stanford,11
2026,W,24,UCLA,11
2026,W,24,Duke,11
2026,W,27,Rice,10
2026,W,27,Washington St.,10
2026,W,29,Kansas State,8
2026,W,29,Bucknell,8
2026,W,29,Cincinnati,8
2026,W,29,NC State,8
2026,W,29,Notre Dame,8
2026,W,29,Penn State,8
2026,W,35,Charleston Southern,7
2026,W,35,Howard,7
2026,W,35,Princeton,7
2026,W,38,Arizona State,6
2026,W,38,Baylor,6
2026,W,38,Kansas,6
2026,W,38,South Dakota,6
2026,W,38,TCU,6
2026,W,38,Miss State,6
2026,W,38,Ohio State,6
2026,W,45,Missouri,5
2026,W,45,Louisville,5
2026,W,45,North Carolina,5
2026,W,45,Ole Miss,5
2026,W,45,Penn,5
2026,W,45,West Virginia,5
2026,W,51,Colorado St.,4
2026,W,51,Iowa,4
2026,W,51,Nevada,4
2026,W,51,UC Riverside,4
2026,W,51,Boston College,4
2026,W,51,Michigan State,4
2026,W,57,Creighton,3
2026,W,57,North Dakota,3
2026,W,57,Oklahoma State,3
2026,W,57,Kentucky,3
2026,W,57,Virginia,3
2026,W,57,Virginia Tech,3
2026,W,63,Cal Poly,2
2026,W,63,Eastern Kentucky,2
2026,W,63,Indiana State,2
2026,W,63,Kennesaw State,2
2026,W,63,Michigan,2
2026,W,68,California,1
2026,W,68,Northern Iowa,1
2026,W,68,Auburn,1
2026,W,68,FIU,1
2026,W,68,SE Louisiana,1
2026,W,68,Southern,1
