year,event,gender,place,athlete_id,athlete_name,school,mark,score
2026,HT,M,1,,Angelos MANTZOURANIS,Minnesota,75.78m248-7,10
2026,HT,M,2,,Texas TANNER,Air Force,75.45m247-6,8
2026,HT,M,3,,Ryan JOHNSON,Iowa,74.40m244-1,6
2026,HT,M,4,,Jeremiah NUBBE,Virginia,72.52m237-11,5
2026,HT,M,5,,Travis MARTIN,Cal Poly,72.46m237-9,4
2026,HT,M,6,,Anthony BARMES,Minnesota,71.91m235-11,3
2026,HT,M,7,,Max LAMPINEN,USC,71.64m235-0,2
2026,HT,M,8,,Igor OLARU,Tennessee,71.11m233-3,1
2026,4x100,M,1,,,Tennessee,37.98WA-L ⓘ,10
2026,4x100,M,2,,,LSU,38.06,8
2026,4x100,M,3,,,Ohio State,38.44,6
2026,4x100,M,4,,,N. Carolina A&T,38.67,5
2026,4x100,M,5,,,Miss State,39.07,4
2026,1500,M,1,,Simeon BIRNBAUM,Oregon,3:36.05,10
2026,1500,M,2,,Trent MCFARLAND,Michigan,3:37.18,8
2026,1500,M,3,,Gary MARTIN,Virginia,3:37.21,6
2026,1500,M,4,,Connor MCCORMICK,Princeton,3:37.27,5
2026,1500,M,5,,Matan IVRI,Wisconsin,3:37.41,4
2026,1500,M,6,,Elliott COOK,Oregon,3:37.80,3
2026,1500,M,7,,Chris CAUDILLO,Cal Poly,3:38.06,2
2026,1500,M,8,,Carter CUTTING,BYU,3:38.10,1
2026,PV,M,1,,Dyson WICKER,Nebraska,5.85m19-2¼,10
2026,PV,M,2,,Logan HAMMER,Utah State,5.75m18-10¼,8
2026,PV,M,3,,Anthony MEACHAM,Kansas,5.70m18-8¼,6
2026,PV,M,4,,Ismaila SAWANEH,Tennessee,5.70m18-8¼,5
2026,PV,M,5,,Matthew GRAY,App State,5.60m18-4½,4
2026,PV,M,6,,Maddox HAMM,Virginia Tech,5.60m18-4½,3
2026,PV,M,7,,Conner MCCLURE,Virginia Tech,5.60m18-4½,2
2026,PV,M,8,,Tyler CARREL,Indiana,5.60m18-4½,1
2026,3000S,M,1,,Geoffrey KIRWA,Louisville,8:17.46,10
2026,3000S,M,2,,Silas KIPTANUI,Tulane,8:18.20,8
2026,3000S,M,3,,Kristian IMROTH,Eastern Kentucky,8:20.91,6
2026,3000S,M,4,,Collins Kiprop KIPNGOK,Kentucky,8:22.80,5
2026,3000S,M,5,,Benjamin BALAZS,Oregon,8:23.03,4
2026,3000S,M,6,,Joash RUTO,Iowa State,8:25.14,3
2026,3000S,M,7,,Brett GARDNER,Virginia,8:29.38,2
2026,3000S,M,8,,Titus KIMARU,Texas Tech,8:31.63,1
2026,110H,M,1,,Ja'Kobe THARP,Auburn,12.90,10
2026,110H,M,2,,Kendrick SMALLWOOD,Texas,12.95,8
2026,110H,M,3,,Braxton BRANN,Ohio State,13.07,6
2026,110H,M,4,,Jason HOLMES,N. Carolina A&T,13.16,5
2026,110H,M,5,,Bradley FRANKLIN,Samford,13.19,4
2026,110H,M,6,,Demario PRINCE,Baylor,13.25,3
2026,110H,M,7,,Andre KORBMACHER,Florida State,13.30,2
2026,110H,M,8,,Matthew SOPHIA,LSU,13.50,1
2026,JT,M,1,,Chinecherem Prosper NNAMDI,Texas A&M,82.26m269-10,10
2026,JT,M,2,,Keyshawn STRACHAN,Nebraska,80.65m264-7,8
2026,JT,M,3,,Jack LARRIVIERE,LSU,77.91m255-7,6
2026,JT,M,4,,Jordan DAVIS,Georgia,77.83m255-4,5
2026,JT,M,5,,Nick REYNOLDS,Georgia,77.43m254-0,4
2026,JT,M,6,,Leikel CABRERA GAY,Florida,76.07m249-7,3
2026,JT,M,7,,Pat VIALVA,Oregon,75.04m246-2,2
2026,JT,M,8,,Daniel THRANA,Oregon,74.90m245-9,1
2026,100,M,1,,Kanyinsola AJAYI,Auburn,9.72,10
2026,100,M,2,,Jaiden REID,LSU,9.82,8
2026,100,M,3,,Jelani WATKINS,Arkansas,9.87,6
2026,100,M,4,,Davonte HOWELL,Tennessee,9.88,5
2026,100,M,5,,Eddie NKETIA,USC,9.95,4
2026,100,M,6,,Mustapha BOKPIN,Middle Tennessee,9.99,3
2026,100,M,7,,Mason LAWYER,Arizona,10.04,2
2026,100,M,8,,Omari LEWIS,Auburn,10.07,1
2026,LJ,M,1,,Tafadzwa CHIKOMBA,Kansas State,8.37m27-5½,10
2026,LJ,M,2,,Juriad HUGHES,Arkansas,8.25m27-¾,8
2026,LJ,M,3,,Uroy RYAN,Kansas State,8.04m26-4½,6
2026,LJ,M,4,,Greg FOSTER,Princeton,8.03m26-4¼,5
2026,LJ,M,5,,Markus WHITE,Liberty,7.93m26-¼,4
2026,LJ,M,6,,Zaid LATIF,Texas Tech,7.89m25-10¾,3
2026,LJ,M,7,,Jayden KEYS,Georgia,7.88m25-10¼,2
2026,LJ,M,8,,Charles GODFRED,Minnesota,7.83m25-8¼,1
2026,400,M,1,,Samuel OGAZI,Alabama,43.38,10
2026,400,M,2,,Jonathan SIMMS,Georgia,43.92,8
2026,400,M,3,,Sidi NJIE,Georgia,44.20,6
2026,400,M,4,,Samuel VESSAT,Purdue,44.47,5
2026,400,M,5,,Jordan PIERRE,Arkansas,44.49,4
2026,400,M,6,,Justin BRAUN,Florida,44.79,3
2026,400,M,7,,Jaden MARCHAN,Georgetown,44.87,2
2026,400,M,8,,Amal GLASGOW,LSU,45.14,1
2026,800,M,1,,Colin SAHLMAN,Northern Arizona,1:44.22,10
2026,800,M,2,,Tyrice TAYLOR,Arkansas,1:44.30,8
2026,800,M,3,,Rivaldo MARSHALL,Arkansas,1:44.93,6
2026,800,M,4,,Allon CLAY,Penn State,1:44.98,5
2026,800,M,5,,Peter NARUMBE,Texas A&M,1:45.37,4
2026,800,M,6,,Niko SCHULTZ,Penn State,1:45.50,3
2026,800,M,7,,Miles BROWN,Michigan,1:45.59,2
2026,800,M,8,,Christian JACKSON,Virginia Tech,1:45.63,1
2026,SP,M,1,,Ben SMITH,Oregon,21.04m69-½,10
2026,SP,M,2,,JL VAN RENSBURG,Tennessee,20.33m66-8½,8
2026,SP,M,3,,Cade MORAN,Nebraska,20.21m66-3¾,6
2026,SP,M,4,,Kobe LAWRENCE,Oregon,19.87m65-2¼,5
2026,SP,M,5,,Hencu LAMBERTS,Nebraska,19.71m64-8,4
2026,SP,M,6,,Ryan HENRY,Penn State,19.65m64-5¾,3
2026,SP,M,7,,Xaver HASTENRATH,UCLA,19.24m63-1½,2
2026,SP,M,8,,Jacob COOKINHAM,Illinois,19.17m62-10¾,1
2026,400H,M,1,,Vance NILSSON,Florida,48.06,10
2026,400H,M,2,,Ja'Qualon SCOTT,Texas A&M,48.82,8
2026,400H,M,3,,Isaiah TAYLOR,N. Carolina A&T,49.03,6
2026,400H,M,4,,Marc Anthony IBRAHIM,Tennessee,49.06,5
2026,400H,M,5,,Devin NUGENT,Auburn,49.50,4
2026,400H,M,6,,Jayden DOUGLAS,TCU,49.68,3
2026,400H,M,7,,Xzaviah TAYLOR,N. Carolina A&T,49.98,2
2026,400H,M,8,,Josiah JOHNSON,Northern Arizona,50.56,1
2026,200,M,1,,Jaiden REID,LSU,19.63,10
2026,200,M,2,,Israel OKON,Auburn,19.99,8
2026,200,M,3,,Trelee BANKS,Indiana,20.02,6
2026,200,M,4,,Mustapha BOKPIN,Middle Tennessee,20.04,5
2026,200,M,5,,T'Mars MCCALLUM,Tennessee,20.09,4
2026,200,M,6,,Eddie NKETIA,USC,20.19,3
2026,200,M,7,,Ian DOSSMAN,Cal St. Fullerton,20.24,2
2026,200,M,8,,Jordan URRUTIA,Ole Miss,20.33,1
2026,10k,M,1,,Habtom SAMUEL,New Mexico,27:51.31,10
2026,10k,M,2,,Elsingi KIPRUTO,Louisville,27:54.04,8
2026,10k,M,3,,Ernest CHERUIYOT,Arkansas,27:58.62,6
2026,10k,M,4,,Denis KIPNGETICH,Oklahoma State,28:02.24,5
2026,10k,M,5,,Dismus LOKIRA,Alabama,28:08.49,4
2026,10k,M,6,,Evans KURUI,Washington St.,28:10.73,3
2026,10k,M,7,,Kelvin CHERUIYOT,Florida,28:13.36,2
2026,10k,M,8,,Dennis KIPRUTO,Alabama,28:16.31,1
2026,4x400,M,1,,,Georgia,2:57.93,10
2026,4x400,M,2,,,LSU,2:57.96,8
2026,4x400,M,3,,,Arkansas,2:59.87,6
2026,4x400,M,4,,,Purdue,3:00.56,5
2026,4x400,M,5,,,Iowa,3:00.65,4
2026,4x400,M,6,,,N. Carolina A&T,3:00.68,3
2026,4x400,M,7,,,Tennessee,3:00.74,2
2026,4x400,M,8,,,Texas A&M,3:00.85,1
2026,HT,W,1,,Elisabet RUT RUNARSDOTTIR,Texas State,73.19m240-1,10
2026,HT,W,2,,Anthonett NABWE,Minnesota,73.15m240-0,8
2026,HT,W,3,,Marie ROUGETET,Miss State,69.71m228-8,6
2026,HT,W,4,,Hadley STREIT,Minnesota,69.50m228-0,5
2026,HT,W,5,,Jordan KOSKONDY,Illinois,69.24m227-2,4
2026,HT,W,6,,Lara ROBERTS,Texas State,69.05m226-6,3
2026,HT,W,7,,Kali TERZA,Kennesaw State,68.72m225-5,2
2026,HT,W,8,,Valentina SAVVA,California,68.60m225-1,1
2026,4x100,W,1,,,USC,41.58,10
2026,4x100,W,2,,,LSU,41.74,8
2026,4x100,W,3,,,Georgia,41.89,6
2026,4x100,W,4,,,Texas A&M,42.34,5
2026,4x100,W,5,,,Tennessee,42.40,4
2026,4x100,W,6,,,Florida State,42.81,3
2026,4x100,W,7,,,Texas,42.94,2
2026,4x100,W,8,,,Texas Tech,43.09,1
2026,1500,W,1,,Rosemary LONGISA,Washington St.,4:12.10,10
2026,1500,W,2,,Salma ELBADRA,South Carolina,4:12.89,8
2026,1500,W,3,,Juliet CHERUBET,Oregon,4:12.99,6
2026,1500,W,4,,Wilma NIELSEN,Oregon,4:13.40,5
2026,1500,W,5,,Carlee HANSEN,BYU,4:13.66,4
2026,1500,W,6,,Emmaculate JEMUTAI,Kansas,4:14.75,3
2026,1500,W,7,,Tia WILSON,Florida,4:15.20,2
2026,1500,W,8,,Carmen ALDER,BYU,4:15.26,1
2026,PV,W,1,,Amanda MOLL,Washington,4.84m15-10½,10
2026,PV,W,2,,Hana MOLL,Washington,4.74m15-6½,8
2026,PV,W,3,,Anna WILLIS,South Dakota,4.64m15-2¾,6
2026,PV,W,4,,Ashley CALLAHAN,Louisville,4.64m15-2¾,5
2026,PV,W,5,,Molly HAYWOOD,Baylor,4.59m15-¾,4
2026,PV,W,6,,Hannah GRACE,Tennessee,4.54m14-10¾,3
2026,PV,W,7,,Lexi EVANS,Cal Poly,4.49m14-8¾,2
2026,PV,W,8,,Tenly KUHN,Baylor,4.49m14-8¾,1
2026,3000S,W,1,,Taylor LOVELL,BYU,9:21.03,10
2026,3000S,W,2,,Sophie NOVAK,Notre Dame,9:26.53,8
2026,3000S,W,3,,Cynthia JEMUTAI,Alabama,9:33.36,6
2026,3000S,W,4,,Angelina NAPOLEON,NC State,9:35.56,5
2026,3000S,W,5,,Katelyn STEWART-BARNETT,Michigan State,9:36.69,4
2026,3000S,W,6,,Kate PUTMAN,NC State,9:45.96,3
2026,3000S,W,7,,Jule LINDNER,Virginia Tech,9:47.96,2
2026,3000S,W,8,,Mercy KINYANJUI,West Virginia,9:50.03,1
2026,100H,W,1,,Aaliyah MCCORMICK,Oregon,12.47,10
2026,100H,W,2,,Celeste POLZONETTI,UCLA,12.79(12.782),8
2026,100H,W,3,,Janela SPENCER,Ohio State,12.79(12.789),6
2026,100H,W,4,,Tonie-Ann FORBES,Texas Tech,12.80,5
2026,100H,W,5,,Symoria ADKINS,Texas Tech,12.82,4
2026,100H,W,6,,Jaiya COVINGTON,Texas A&M,12.96,3
2026,100H,W,7,,Rachel MEHRINGER,Indiana State,12.99,2
2026,100H,W,8,,Tashina ALASE,Southern,13.18,1
2026,JT,W,1,,McKyla VAN DER WESTHUIZEN,Rice,60.87m199-8,10
2026,JT,W,2,,Evelyn BLISS,Bucknell,60.28m197-9,8
2026,JT,W,3,,Irene JEPKEMBOI,TCU,60.16m197-4,6
2026,JT,W,4,,Valentina BARRIOS BORNACELLI,Missouri,57.17m187-6,5
2026,JT,W,5,,Lilly URBAN,Nevada,55.88m183-4,4
2026,JT,W,6,,Christiana ELLINA,Virginia,54.99m180-5,3
2026,JT,W,7,,Shea GREENE,Princeton,54.90m180-1,2
2026,JT,W,8,,Arndis OSKARSDOTTIR,FIU,54.75m179-7,1
2026,100,W,1,,Shenese WALKER,Florida State,10.88,10
2026,100,W,2,,Adaejah HODGE,Georgia,10.93,8
2026,100,W,3,,Shawnti JACKSON,LSU,11.01,6
2026,100,W,4,,Alicia BURNETT,Ole Miss,11.05,5
2026,100,W,5,,Dana WILSON,Tennessee,11.09,4
2026,100,W,6,,Gabrielle MATTHEWS,Florida,11.12,3
2026,100,W,7,,Tima GODBLESS,LSU,11.13,2
2026,100,W,8,,Brianna SELBY,USC,11.14,1
2026,LJ,W,1,,Alyssa JONES,Stanford,7.06m23-2,10
2026,LJ,W,2,,Shantae FOREMAN,Clemson,6.69m21-11½,8
2026,LJ,W,3,,Caelyn HARRIS,Alabama,6.65m21-10,6
2026,LJ,W,4,,Sophia BECKMON,Illinois,6.57m21-6¾,5
2026,LJ,W,5,,Maeva TAHOU,Charleston Southern,6.56m21-6¼,4
2026,LJ,W,6,,Trinity SHADD-CERES,Creighton,6.52m21-4¾,3
2026,LJ,W,7,,Morgan DAVIS,Texas A&M,6.52m21-4¾,2
2026,LJ,W,8,,Aaliyah LINDSAY,Kansas State,6.44m21-1½,1
2026,400,W,1,,Dejanea OAKLEY,Georgia,48.79,10
2026,400,W,2,,Madison WHYTE,USC,48.97,8
2026,400,W,3,,Javonya VALCOURT,Tennessee,50.16,6
2026,400,W,4,,Kaylyn BROWN,Arkansas,50.25,5
2026,400,W,5,,Sydney SEGALLA,Boston College,50.48,4
2026,400,W,6,,Sanaria BUTLER,Arkansas,50.51,3
2026,400,W,7,,Rachel JOSEPH,Iowa State,50.82,2
2026,400,W,8,,Onyah Onyinye FAVOUR,SE Louisiana,50.91,1
2026,800,W,1,,Sanu JALLOW,Arkansas,1:56.85,10
2026,800,W,2,,Hayley KITCHING,Penn State,1:57.65,8
2026,800,W,3,,Lauren TOLBERT,Duke,1:58.22,6
2026,800,W,4,,Makayla PAIGE,North Carolina,1:58.30,5
2026,800,W,5,,Analisse BATISTA,Arkansas,1:58.41,4
2026,800,W,6,,Emmaculate JEMUTAI,Kansas,1:58.55,3
2026,800,W,7,,Gladys CHEPNGETICH,Clemson,1:59.53,2
2026,800,W,8,,Janet Jepkemboi AMIMO,Kentucky,1:59.82,1
2026,SP,W,1,,Axelina JOHANSSON,Nebraska,19.92m65-4¼,10
2026,SP,W,2,,Ashley ERASMUS,USC,18.14m59-6¼,8
2026,SP,W,3,,Alida VAN DAALEN,Florida,18.12m59-5½,6
2026,SP,W,4,,Jessica OJI,Penn,17.98m59-0,5
2026,SP,W,5,,Mine DE KLERK,Nebraska,17.86m58-7¼,4
2026,SP,W,6,,Nina NDUBUISI,Georgia,17.67m57-11¾,3
2026,SP,W,7,,Elizabeth TAPPER,Michigan,17.54m57-6½,2
2026,SP,W,8,,Megan HAGUE,Auburn,17.51m57-5½,1
2026,400H,W,1,,Akala GARRETT,South Carolina,53.32,10
2026,400H,W,2,,Amelliah BIRDOW,Texas,53.60,8
2026,400H,W,3,,Saira PRINCE,Arkansas,54.36,6
2026,400H,W,4,,Michelle SMITH,Georgia,55.10,5
