athlete_id,name,school,gender,pr_600,pr_800,pr_MILE,pr_5K_(XC),pr_6K_(XC),pr_3_MILE_(XC),pr_1500,pr_5000,pr_3000S,pr_8K_(XC),pr_10K_(XC),pr_1000,pr_3000,pr_3K_(XC),pr_60,pr_100,pr_200,pr_300,pr_400,pr_JT,pr_LJ,pr_TJ,"pr_10,000",pr_60H,pr_100H,pr_400H,pr_HJ,pr_SP,pr_PENT,pr_HEP,pr_PV,pr_110H,pr_DT,pr_HT,pr_WT,pr_DEC,pr_5_MILE_(XC),pr_500,pr_5.846K_(XC),pr_5.85K_(XC),pr_600Y,pr_7.8K_(XC),pr_8.057K_(XC),pr_4_MILE_(XC),pr_3.1_MILE_(XC),pr_4.97_MILE_(XC),pr_55,pr_300H,pr_200H,pr_55H,pr_8.53K_(XC),pr_5.2_MILE_(XC),pr_13.1K_(XC),pr_5.31K_(XC),pr_4K_(XC),pr_3.11_MILE_(XC),pr_4.8K_(XC),pr_2000S,pr_7.162K_(XC),pr_4.17K_(XC),pr_3.71_MILE_(XC),pr_3.74_MILE_(XC),pr_8.4K_(XC),pr_3.72_MILE_(XC),pr_3.73_MILE_(XC),pr_8.078K_(XC),pr_5200,pr_7.86K_(XC),pr_5.4K_(XC),pr_5.6K_(XC),pr_4000,pr_1600,pr_3.10728_MILE_(XC),pr_6.3K_(XC),pr_5.868K_(XC),pr_5.5K_(XC),pr_3.12_MILE_(XC),pr_8000,pr_5.926K_(XC),pr_2.49_MILE_(XC),pr_4.66_MILE_(XC),pr_4.66071_MILE_(XC),pr_7K_(XC),pr_8.018K_(XC),pr_3.1068_MILE_(XC),pr_150,pr_40Y,pr_4X100,pr_2.55_MILE_(XC),pr_3.14_MILE_(XC),pr_4.97097_MILE_(XC),pr_5.8K_(XC),pr_4.9_MILE_(XC),pr_8.05K_(XC),pr_3.107_MILE_(XC),pr_2_MILE,pr_3200,pr_4.5_MILE_(XC),pr_5.75K_(XC),pr_4.95_MILE_(XC),pr_2K_(XC),pr_2.5_MILE_(XC),pr_7.08K_(XC),pr_7.2K_(XC),pr_1500S,pr_5.95K_(XC),pr_8.075K_(XC),pr_2_MILE_(XC),pr_4.1K_(XC),pr_2.9_MILE_(XC),pr_4.1_MILE_(XC),pr_6.2_MILE_(XC),pr_7.25K_(XC),pr_800_METERS_(XC),pr_6.2K_(XC),pr_3.10686_MILE_(XC),pr_7.7K_(XC),pr_2000,pr_5.2K_(XC),pr_6.17K_(XC),pr_6.08K_(XC),pr_3.1K_(XC),pr_4.88K_(XC),pr_5.013K_(XC),pr_8.8K_(XC),pr_4.7K_(XC),pr_6.4K_(XC),pr_8.067K_(XC),pr_3.85_MILE_(XC),pr_6.212K_(XC),pr_3.72825_MILE_(XC),pr_8.369K_(XC)
8617814,Liliane Aittama,AIR FORCE,f,1:35.39,2:03.14,5:00.98,18:28.1,21:26.4,17:51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8584792,Bryce Kueker,CAL POLY,m,,,,,17:49.1,,3:46.89,14:07.17,8:36.07,23:58.5,30:31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8237635,Kaylie Politza,OKLAHOMA STATE,f,1:31.08,2:01.87,4:41.79,,21:39.2,,4:12.66,,,,,2:39.76,10:09.75,10:38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8364135,Dejanea Oakley,GEORGIA,f,,,,,,,,,,,,,,,7.53,11.15 (2.8),22.32 (2.3),35.94,48.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6537871,Kari Wolfe,NORTH DAKOTA STATE,,,,,,,,,,,,,,,,,,,,,"55.02m 180' 6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8984413,Cameran Gist,SOUTH CAROLINA,f,,,,,,,,,,,,,,,,,,,,,"6.26m (+0.0) 20' 6.5""","13.07m (1.1) 42' 10.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8589909,Oliver Boltz,IONA,m,,,,,,,,14:03.83,,24:09.7,30:15.9,,,,,,,,,,,,29:01.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9268375,Taylor Hankton,SOUTHERN,f,,,,,,,,,,,,,,,,11.99 (-0.6),24.76 (0.8),,57.12,,,,,8.77,14.23 (1.3),58.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8982894,Tabea Eitel,TEXAS,f,,2:19.23,,,,,,,,,,,,,,,24.96 (0.1),,,"39.45m 129' 5""","6.32m 20' 9""",,,8.49,14.03 (1.9),,"1.75m 5' 8.75""","12.89m 42' 3.5""",4261,5648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8368403,Naj Watson,GEORGIA SOUTHERN,f,,,,,,,,,,,,,,,7.35,11.24 (4.8),22.69 (1.3),,54.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9257089,Grant Harrison,KENTUCKY,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.25m 17' 2.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8687807,Alysa Keller,BYU,f,,,,,,,,,,,,,,,,,,,,"52.08m 170' 10""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9288967,Grace Copeland,NORTHERN ARIZONA,f,,2:13.68,,,,,4:18.03,15:47.08,,,,,9:12.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8894634,Desmond Smith,N. CAROLINA A&T,m,,,,,,,,,,,,,,,,,,,,,,,,8.66,,,,,,,,13.75 (2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7511454,Nyagoa Bayak,HOWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.86m 6' 1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264643,Adrian Cardero,FLORIDA STATE,m,,,,,,,,,,,,,,,,10.91 (1.3),,,47.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8680442,Morgan Davis,TEXAS A&M,f,,,,,,,,,,,,,,,7.40,11.59 (4.7),22.98 (0.7),,,,"6.57m 21' 6.75""",,,,,,"1.65m 5' 5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8003661,Hayden Tobias,OHIO STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.26m 66' 5.75""",,,,,"49.94m 163' 10""","59.61m 195' 7""","19.02m 62' 5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8984385,Devan Crumpton,SOUTH CAROLINA,m,,,,,,,,,,,,,,,,,20.93 (-0.4),32.67,44.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9234374,Maliah Edwards,PITTSBURGH,f,,,,,,,,,,,,,,,7.68,11.72 (1.8),24.65 (-1.3),,,,,,,8.40,13.52 (3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8684051,Lilly Hodge,HARVARD,f,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.69m 5' 6.5""",,,,"4.18m 13' 8.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8063563,Liam Miksic,UC IRVINE,,,,,,,,,,,,,,,,,,,,,"71.06m 233' 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8320857,Charlie Krasnoff,TULSA,m,,,4:03.56,,,,3:41.65,13:38.96,,,,,7:54.04,,,,,,,,,,28:46.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8678676,Oluwatosin Ayodeji,CINCINNATI,m,,,,,,,,,,,,,,,,10.95 (2.4),22.35 (1.0),,,,"7.54m (2.0) 24' 9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7987491,Mahogany Mobley,LIBERTY,f,,,,,,,,,,,,,,,7.82,11.73 (1.4),23.76 (2.8),38.67,52.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8283545,Sharli'E Mcculler,SAN JOSE ST.,f,,,,,,,,,,,,,,,7.50,11.60 (1.1),23.45 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8987116,Bennett Whitefield,WESTERN CAROLINA,m,,,,,,,4:40.29,,,,,2:45.38,,,7.16,11.04 (0.9),,,49.27,"46.52m 152' 7""","6.48m (+0.0) 21' 3.25""",,,8.66,,,"1.77m 5' 9.75""","11.07m 36' 4""",,4685,"4.25m 13' 11.25""",15.36 (1.2),"32.74m 107' 5""",,,6504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8991538,Britannie Johnson,PURDUE,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.91m 55' 5.75""",,,,,"54.60m 179' 2""","56.22m 184' 5""","21.67m 71' 1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7730602,Adriaan Wildschutt,FLORIDA STATE,,,,,15:27.0,,,3:51.95,13:09.30,,22:49.5,28:52.0,,7:52.38,,,,,,,,,,27:38.54,,,,,,,,,,,,,,23:06.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9262001,La'Nica Locker,LSU,f,,,,,,,,,,,,,,,,,23.05 (3.6),,,,,,,,,,,,,,,,,,,,,1:17.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9250520,Sydney Kuhn,MICHIGAN,f,,,,,,,,,,,,,,,,,,,,,,,,,,58.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8674710,Anika Sukumar,CORNELL,f,,,,,,,,,,,,,,,8.36,,,,,,"5.59m 18' 4.25""","12.69m (-1.3) 41' 7.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8258441,Nia Wiley,LOUISIANA TECH,f,1:37.75,,,,,,,,,,,,,,,,24.56 (4.4),,54.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
