year,event,gender,place,athlete_id,athlete_name,school,mark
2025,100,M,1,8328830,Jordan Anthony,Arkansas,10.07
2025,100,M,2,8343523,Max Thomas,USC,10.10
2025,100,M,3,8992440,Jelani Watkins,LSU,10.10
2025,100,M,4,8709992,Kanyinsola Ajayi,Auburn,10.13
2025,100,M,5,8682109,Davonte Howell,Tennessee,10.17
2025,100,M,6,8714494,Jaiden  Reid,LSU,10.17
2025,100,M,7,9006516,Israel Okon,Auburn,10.18
2025,100,M,8,8339841,T'Mars McCallum,Tennessee,10.24
2025,200,M,1,8362093,Carli Makarawu,Kentucky,22.62
2025,200,M,2,7984341,Makanakaishe Charamba,Auburn,15.34
2025,200,M,3,8236839,Garrett Kaalund,USC,17.77
2025,200,M,4,8328830,Jordan Anthony,Arkansas,26.02
2025,200,M,5,8339841,T'Mars McCallum,Tennessee,19.96
2025,200,M,6,8343523,Max Thomas,USC,14.57
2025,200,M,7,8982863,Xavier Butler,Texas,18.56
2025,200,M,8,8700013,Abdul-Rasheed Saminu,South Florida,25.28
2025,400,M,1,8691776,Samuel Ogazi,Alabama,44.84
2025,400,M,2,8343526,William Jones,USC,45.53
2025,400,M,3,8666362,Jordan Pierre,Arkansas-Pine Bluff,45.75
2025,400,M,4,8364830,DeSean  Boyce,Texas Tech,45.78
2025,400,M,5,8978945,Joseph Taylor,Duke,45.83
2025,400,M,6,8711001,Jayden Davis,Arizona State,45.91
2025,400,M,7,7734256,Auhmad Robinson,Texas A&M,46.07
2025,400,M,8,8671794,Gabriel Clement II,UCLA,46.17
2025,800,M,1,7987288,Sam Whitmarsh,Texas A&M,2:11.27
2025,800,M,2,7892016,Matthew Erickson,Oregon,1:52.70
2025,800,M,3,8673515,Rivaldo  Marshall,Arkansas,1:42.45
2025,800,M,4,7918236,Samuel  Rodman,Princeton,1:30.84
2025,800,M,5,7751674,Aidan McCarthy,Cal Poly,1:59.71
2025,800,M,6,8023572,Samuel  Navarro,Miss State,2:10.95
2025,800,M,7,7916232,Christian Jackson,Virginia Tech,1:47.42
2025,800,M,8,8328299,Tyrice Taylor,Arkansas,2:00.34
2025,1500,M,1,7910774,Nathan Green,Washington,3:47.26
2025,1500,M,2,7908130,Ethan Strand,North Carolina,3:47.33
2025,1500,M,3,8623171,Ferenc Kovacs,Harvard,3:47.42
2025,1500,M,4,7899902,Adam Spencer,Wisconsin,3:47.50
2025,1500,M,5,8329149,Gary Martin,Virginia,3:47.58
2025,1500,M,6,7727751,Jack Crull,Bradley,3:47.61
2025,1500,M,7,8672366,Simeon Birnbaum,Oregon,3:47.64
2025,1500,M,8,7936824,Damian Hackett,Cornell,3:47.74
2025,5000,M,1,8647595,Brian Musau,Oklahoma State,12:40.56
2025,5000,M,2,8609549,Habtom Samuel,New Mexico,11:52.80
2025,5000,M,3,8232893,Marco Langon,Villanova,9:36.85
2025,5000,M,4,8330427,Valentin Soca,CBU,15:54.10
2025,5000,M,5,8585457,Rocky Hansen,Wake Forest,10:01.86
2025,5000,M,6,7735918,Matt Strangio,Portland,14:43.61
2025,5000,M,7,9020103,Ishmael Kipkurui,New Mexico,12:04.67
2025,5000,M,8,8013125,Fouad Messaoudi,Oklahoma State,12:45.21
2025,10k,M,1,9020103,Ishmael Kipkurui,New Mexico,30:17.61
2025,10k,M,2,8609549,Habtom Samuel,New Mexico,27:06.32
2025,10k,M,3,8725440,Ernest Cheruiyot,Texas Tech,24:12.81
2025,10k,M,4,8245423,Rodgers Kiplimo,Iowa State,35:53.60
2025,10k,M,5,8977339,Evans Kurui,Washington St.,24:30.77
2025,10k,M,6,8983861,David Mullarkey,Northern Arizona,29:28.56
2025,10k,M,7,7717276,Dylan Schubert,Furman,37:39.03
2025,10k,M,8,7888807,Creed Thompson,BYU,21:53.58
2025,110H,M,1,8709994,Ja'Kobe Tharp,Auburn,13.05
2025,110H,M,2,8009666,Zachary Extine,Arizona,13.13
2025,110H,M,3,9001093,John Adesola,Houston,13.28
2025,110H,M,4,7727876,Jamar  Marshall Jr.,Houston,13.34
2025,110H,M,5,8611983,Demario Prince,Baylor,13.44
2025,110H,M,6,7984691,Darius Brown,DePaul,13.50
2025,110H,M,7,8714497,Jahiem Stern,LSU,13.57
2025,110H,M,8,7979143,Jayden Smith,Davidson,13.65
2025,400H,M,1,8017719,Nathaniel Ezekiel,Baylor,58.89
2025,400H,M,2,8712078,Ja'Qualon Scott,Texas A&M,48.78
2025,400H,M,3,8316982,Kody Blackwood,Texas,41.37
2025,400H,M,4,7993397,Oskar Edlund,Texas Tech,51.48
2025,400H,M,5,9008200,Saad Hinti,Tennessee,55.01
2025,400H,M,6,8005683,Bryce McCray,Texas A&M,39.12
2025,400H,M,7,7974466,Johnny Brackins,USC,1:04.70
2025,400H,M,8,8668146,Bryce Tucker,Rutgers,49.82
2025,3000S,M,1,8268086,James Corrigan,BYU,5:47.49
2025,3000S,M,2,8916058,Geoffrey Kirwa,Louisville,10:16.43
2025,3000S,M,3,7717277,Carson Williams,Furman,6:49.77
2025,3000S,M,4,8895705,Joash Ruto,Iowa State,8:40.49
2025,3000S,M,5,8895220,Collins Kiprop Kipngok,Kentucky,9:43.39
2025,3000S,M,6,9020972,Mathew Kosgei,New Mexico,6:32.89
2025,3000S,M,7,8261257,Benjamin Balazs,Oregon,9:40.13
2025,3000S,M,8,7894462,Rob McManus,Montana State,9:06.30
2025,4x100,M,1,,,Auburn,38.33
2025,4x100,M,2,,,USC,38.46
2025,4x100,M,3,,,Arkansas,38.72
2025,4x100,M,4,,,South Florida,38.73
2025,4x100,M,5,,,Tennessee,38.79
2025,4x100,M,6,,,Kentucky,38.85
2025,4x100,M,7,,,Minnesota,38.88
2025,4x100,M,8,,,Texas,39.10
2025,4x400,M,1,,,South Florida,3:00.42
2025,4x400,M,2,,,Texas A&M,3:00.73
2025,4x400,M,3,,,Arkansas,3:01.59
2025,4x400,M,4,,,Iowa,3:01.61
2025,4x400,M,5,,,Florida,3:01.88
2025,4x400,M,6,,,Alabama,3:02.17
2025,4x400,M,7,,,BYU,3:02.51
2025,4x400,M,8,,,USC,3:03.18
2025,HJ,M,1,8341372,Arvesta Troupe,Ole Miss,1.91m
2025,HJ,M,4,7978389,Kamyren Garrett,Illinois,2.46m
2025,HJ,M,5,8675817,Nathanil Figgers,South Carolina,1.61m
2025,PV,M,1,9009619,Aleksandr Solovev,Texas A&M,7.51m
2025,PV,M,2,8320105,Ashton Barkdull,Kansas,4.87m
2025,PV,M,3,7722564,Bradley Jelmert,Arkansas State,6.36m
2025,PV,M,4,7718475,Benjamin Conacher,Virginia Tech,5.02m
2025,LJ,M,1,7731971,Malcolm Clemons,Florida,7.16m
2025,LJ,M,2,7973950,Blair  Anderson,Oklahoma State,6.82m
2025,LJ,M,3,7984924,Henry Kiner,Arkansas,5.73m
