year,athlete_id,athlete_name,school,event,gender,season_best,season_avg,avg_place,conf_champ_place,pr,cross_event_avg_place,conf_champ_place_any_event
2022,7531871,Joseph Fahnbulleh,Florida,100,M,10.0,10.142857142857142,3.75,1.0,10.0,2.764705882352941,1.0
2022,7994600,Favour Ashe,Tennessee,100,M,10.04,10.115714285714287,1.5,1.0,9.79,2.8,1.0
2022,7728613,Javonte Harding,N. Carolina A&T,100,M,10.08,10.25875,4.25,1.0,9.98,3.0,1.0
2022,7730597,JoVaughn Martin,Florida State,100,M,10.05,10.127142857142857,4.0,1.0,9.94,3.5,1.0
2022,7731977,Dedrick Vanover,Florida,100,M,10.1,10.19375,3.2,2.0,10.03,2.75,1.0
2022,7495800,Matthew Boling,Georgia,100,M,9.98,10.131111111111112,2.6,4.0,9.97,2.4,1.0
2022,7722962,Micah Williams,Oregon,100,M,9.86,10.07625,2.2,7.0,9.83,1.5,7.0
2022,7729846,Da'Marcus Fleming,LSU,100,M,10.08,10.184285714285712,3.0,8.0,9.85,4.857142857142857,8.0
2022,7087489,Julien Alfred,Texas,100,W,10.81,10.994285714285715,1.0,1.0,10.72,2.3333333333333335,1.0
2022,7722970,Kemba Nelson,Oregon,100,W,10.97,11.135,1.5,2.0,10.85,1.4705882352941178,2.0
2022,6995396,Abby Steiner,Kentucky,100,W,10.9,11.044285714285715,1.75,2.0,10.9,1.5,1.0
2022,7548443,Rosemary Chukwuma,Texas Tech,100,W,10.99,11.156,2.5,4.0,10.82,2.2941176470588234,4.0
2022,7729916,Favour Ofili,LSU,100,W,10.93,11.066666666666666,2.1666666666666665,1.0,10.9,2.7058823529411766,1.0
2022,8042870,Grace Nwokocha,N. Carolina A&T,100,W,10.97,11.286666666666667,2.6,1.0,10.97,4.0,1.0
2022,7690425,Kevona Davis,Texas,100,W,10.95,11.231666666666667,4.25,7.0,10.83,3.6956521739130435,1.0
2022,7540568,Melissa Jefferson,Coastal Carolina,100,W,10.88,11.113333333333333,2.8,1.0,10.88,3.0869565217391304,1.0
2022,7511453,Alia Armstrong,LSU,100H,W,12.55,12.74,1.1666666666666667,1.0,12.31,2.2916666666666665,1.0
2022,7687405,Jasmine Jones,USC,100H,W,12.66,12.965555555555556,1.8,2.0,12.58,1.8888888888888888,2.0
2022,6995394,Masai Russell,Kentucky,100H,W,12.71,12.993636363636364,2.0,3.0,12.32,2.5588235294117645,2.0
2022,6988926,Paula  Salmon,N. Carolina A&T,100H,W,12.63,12.845454545454546,2.3333333333333335,1.0,12.63,2.9285714285714284,1.0
2022,7496293,Kaylah Robinson,Texas A&M,100H,W,12.71,12.887,2.5,2.0,12.49,3.4705882352941178,2.0
2022,7545644,Destiny Huven,Wisconsin,100H,W,12.82,13.293333333333333,3.4,3.0,12.72,4.8125,3.0
2022,6985909,Demisha Roswell,Texas Tech,100H,W,12.44,12.87,3.25,7.0,12.44,4.615384615384615,7.0
2022,7497320,Destinee  Rocker,South Carolina,100H,W,12.95,15.896363636363638,4.5,5.0,12.95,4.75,5.0
2022,6891927,Dylan Jacobs,Notre Dame,10k,M,1681.94,1720.836,1.0,1.0,1681.53,6.125,1.0
2022,7389301,Alex Maier,Oklahoma State,10k,M,1692.68,1737.7150000000001,2.0,2.0,1692.68,3.7,2.0
2022,7409415,Abdihamid Nur,Northern Arizona,10k,M,1694.51,1710.205,3.0,3.0,1662.73,2.6153846153846154,1.0
2022,7697360,Cole Sprout,Stanford,10k,M,1662.42,1726.7150000000001,4.0,4.0,1662.42,4.416666666666667,4.0
2022,7386914,Athanas  Kioko,Campbell,10k,M,1696.11,1699.6566666666668,4.0,5.0,1696.11,3.2941176470588234,1.0
2022,7416005,Charles Hicks,Stanford,10k,M,1660.16,1700.4633333333334,3.3333333333333335,6.0,1660.16,5.111111111111111,6.0
2022,7730602,Adriaan Wildschutt,Florida State,10k,M,1658.54,1688.5600000000002,4.5,7.0,1658.54,6.444444444444445,2.0
2022,6591141,Aaron Bienenfeld,Oregon,10k,M,1694.67,1714.4919999999997,5.5,8.0,1690.95,6.0,8.0
2022,7376675,Mercy Chelangat,Alabama,10k,W,1957.08,2003.4099999999999,1.0,1.0,1915.8,3.3333333333333335,1.0
2022,7422260,Grace Forbes,Rice,10k,W,1968.07,2014.3674999999998,1.5,1.0,1944.38,1.3333333333333333,1.0
2022,6455158,Jenna Magness,Michigan State,10k,W,1979.96,2018.6833333333334,2.0,1.0,1979.96,1.9090909090909092,1.0
2022,7392925,Emily Covert,Colorado,10k,W,1950.82,1990.3700000000001,3.5,4.0,1950.82,5.0,4.0
2022,6454342,Alexandra Hays,NC State,10k,W,1995.53,2019.3500000000001,4.0,5.0,1941.13,7.285714285714286,5.0
2022,7389214,Gabby  Hentemann,Oklahoma State,10k,W,1998.04,2027.7633333333333,3.5,6.0,1997.48,3.3333333333333335,6.0
2022,7480903,Haley Herberg,Washington,10k,W,1954.67,2004.5525,9.333333333333334,7.0,1954.67,7.4,7.0
2022,7726451,Charlotte Dannatt,Georgetown,10k,W,2006.78,2035.1966666666665,5.5,8.0,2006.78,5.5,3.0
2022,6578646,Trey Cunningham,Florida State,110H,M,13.0,13.163,1.0,1.0,13.0,1.1111111111111112,1.0
2022,6999405,Eric Edwards Jr.,LSU,110H,M,13.15,13.419999999999998,1.5,1.0,13.15,2.764705882352941,1.0
2022,7503401,Joshua Zeller,Michigan,110H,M,13.19,13.542727272727273,1.8,1.0,13.19,2.642857142857143,1.0
2022,7718288,Giano Roberts,Clemson,110H,M,13.41,13.664545454545454,3.5,2.0,13.31,4.6875,2.0
2022,7044818,Lafranz Campbell,Clemson,110H,M,13.45,13.699000000000002,5.0,5.0,13.45,5.444444444444445,5.0
2022,8003659,Kentre Patterson,Ohio State,110H,M,13.39,13.727857142857143,2.6666666666666665,2.0,13.39,11.25,2.0
2022,7482261,Justin Leaston,Charlotte,110H,M,13.46,13.696666666666665,4.0,2.0,13.42,4.769230769230769,2.0
2022,6972494,Omotade Ojora,USC,110H,M,13.48,13.710833333333333,2.857142857142857,8.0,13.29,2.75,8.0
2022,7480799,Joe Waskom,Washington,1500,M,219.45,222.59,1.0,1.0,215.86,6.1,1.0
2022,6901779,Mario Garcia Romo,Ole Miss,1500,M,216.91,223.09857142857143,3.0,1.0,216.91,2.272727272727273,1.0
2022,6476059,Sam Ellis,Princeton,1500,M,217.6,222.42,7.0,3.0,217.6,7.916666666666667,3.0
2022,7895663,Thomas Vanoppen,Wake Forest,1500,M,217.65,222.76285714285714,2.0,1.0,217.65,5.0,1.0
2022,7480790,Luke  Houser,Washington,1500,M,217.51,221.41714285714286,5.333333333333333,5.0,217.51,6.2727272727272725,5.0
2022,5971060,Jonathan  Davis,Illinois,1500,M,216.85,223.62857142857143,4.666666666666667,2.0,216.85,3.923076923076923,2.0
2022,7910774,Nathan Green,Washington,1500,M,217.46,222.18833333333336,13.666666666666666,7.0,214.79,10.0,7.0
2022,7899902,Adam Spencer,Wisconsin,1500,M,217.4,223.37857142857143,4.0,1.0,214.57,4.181818181818182,1.0
2022,7367325,Sintayehu Vissa,Ole Miss,1500,W,248.72,252.23166666666665,1.0,1.0,248.72,2.0,1.0
2022,7791359,Micaela Degenero,Colorado,1500,W,249.62,256.3742857142857,4.0,2.0,249.38,4.222222222222222,2.0
2022,5962970,Christina Aragon,Stanford,1500,W,250.0,256.9085714285714,4.333333333333333,3.0,249.59,4.714285714285714,3.0
2022,6419176,Krissy Gear,Arkansas,1500,W,250.06,257.57166666666666,7.5,4.0,249.0,4.545454545454546,4.0
